Choice_id,Question_id,Choice
1,5,a) <dfn>
2,5,b) <cite>
3,5,c) <abbr>
4,5,d) <address>
5,6,a) <s>
6,6,b) <ins>
7,6,c) <del>
8,6,d) <address>
9,7,character set
10,7,b) links
11,7,c) scripts
12,7,d) color
13,8,<hr>
14,8,b) <h1>
15,8,c) <head>
16,8,d) <p>
17,9,a) <a>
18,9,b) <p>
19,9,c) <li>
20,9,d) <ol>
21,10,a) link other pages within the same site
22,10,b) link the same page with other sites
23,10,c) link other pages with other sites
24,10,d) does not link
25,11,a) red
26,11,b) blue
27,11,c) purple
28,11,d) green
29,12,a) Steve Jobs
30,12,b) James Gosling
31,12,c) Dennis Ritchie
32,12,d) Rasmus Lerdorf
33,13,a) int number;
34,13,b) float rate;
35,13,c) int variable_count;
36,13,d) int $main;
37,14,a) LowerCase letters
38,14,b) UpperCase letters
39,14,c) CamelCase letters
40,14,d) None of the mentioned
41,15,a) They can contain alphanumeric characters as well as special characters
42,15,"b) It is not an error to declare a variable to be one of the keywords(like goto, static)"
43,15,c) Variable names cannot start with a digit
44,15,d) Variable can be of any length
45,16,"a) int my_num = 100,000;"
46,16,b) int my_num = 100000;
47,16,c) int my num = 1000;
48,16,d) int $my_num = 10000;
49,17,a) volatile
50,17,b) true
51,17,c) friend
52,17,d) export
53,28,a) Data of Binary Management System
54,28,b) Database Management System
55,28,c) Database Management Service
56,28,d) Data Backup Management System
57,29,"a) Organized collection of information that cannot be accessed, updated, and managed"
58,29,b) Collection of data or information without organizing
59,29,"c) Organized collection of data or information that can be accessed, updated, and managed"
60,29,d) Organized collection of data that cannot be updated
61,30,a) DBMS is a collection of queries
62,30,b) DBMS is a high-level language
63,30,c) DBMS is a programming language
64,30,"d) DBMS stores, modifies and retrieves data"
65,31,a) Image oriented data
66,31,"b) Text, files containing data"
67,31,c) Data in the form of audio or video
68,31,d) All of the above
69,18,TRUE
70,18,FALSE
71,19,TRUE
72,19,FALSE
73,20,TRUE
74,20,FALSE
75,21,TRUE
76,21,FALSE
77,22,TRUE
78,22,FALSE
79,23,TRUE
80,23,FALSE
81,24,TRUE
82,24,FALSE
83,25,TRUE
84,25,FALSE
85,26,TRUE
86,26,FALSE
87,27,TRUE
88,27,FALSE
89,4,a) Where
90,4,b) Having
91,4,c) Group by
92,4,d) With
93,3,a) Drop table
94,3,b) Delete
95,3,c) Purge
96,3,d) Remove
97,2,a) Primary Key
98,2,b) Foreign key
99,2,c) Super key
100,2,d) Candidate key
101,1,a) TCL (Transaction Control Language)
102,1,b) DCL (Data Control Language)
103,1,c) DDL (Data Definition Langauge)
104,1,d) DML (Data Manipulation Langauge)
105,32,TRUE
106,32,FALSE
107,33,TRUE
108,33,FALSE
109,34,TRUE
110,34,FALSE
111,35,TRUE
112,35,FALSE
113,36,TRUE
114,36,FALSE
115,37,TRUE
116,37,FALSE
117,38,TRUE
118,38,FALSE
119,39,TRUE
120,39,FALSE
121,40,TRUE
122,40,FALSE
123,41,TRUE
124,41,FALSE
125,42,a) new
126,42,b) create
127,42,c) instance
128,42,d) object
129,49,a) public
130,49,b) private
131,49,c) protected
132,49,d) default
133,50,a) Inheritance
134,50,b) Polymorphism
135,50,c) Encapsulation
136,50,d) Abstraction
137,51,a) Inheritance
138,51,b) Encapsulation
139,51,c) Modularity
140,51,d) Polymorphism
141,48,a) init()
142,48,b) main()
143,48,c) start()
144,48,d) constructor
145,47,a) final
146,47,b) static
147,47,c) abstract
148,47,d) private
149,46,a) Inheritance
150,46,b) Encapsulation
151,46,c) Polymorphism
152,46,d) Abstraction
153,45,a) .
154,45,b) ::
155,45,c) ->
156,45,d) *
157,44,a) Encapsulation
158,44,b) Inheritance
159,44,c) Polymorphism
160,44,d) Abstraction
161,43,a) finalize()
162,43,b) destroy()
163,43,c) clean()
164,43,d) delete()
165,62,a) break
166,62,b) continue
167,62,c) return
168,62,d) exit
169,63,a) int array[10];
170,63,b) array[10] int;
171,63,c) array[10] = int;
172,63,d) int[10] array;
173,64,a) stdio.h
174,64,b) math.h
175,64,c) string.h
176,64,d) stdlib.h
177,65,a) To allocate memory dynamically
178,65,b) To free allocated memory
179,65,c) To compare two strings
180,65,d) To perform mathematical calculations
181,66,a) *
182,66,b) &
183,66,c) $
184,66,d) %
185,52,TRUE
186,52,FALSE
187,53,TRUE
188,53,FALSE
189,54,TRUE
190,54,FALSE
191,55,TRUE
192,55,FALSE
193,56,TRUE
194,56,FALSE
195,57,TRUE
196,57,FALSE
197,58,TRUE
198,58,FALSE
199,59,TRUE
200,59,FALSE
201,60,TRUE
202,60,FALSE
203,61,TRUE
204,61,FALSE
205,67,TRUE
206,67,FALSE
207,68,TRUE
208,68,FALSE
209,69,TRUE
210,69,FALSE
211,70,TRUE
212,70,FALSE
213,71,TRUE
214,71,FALSE
215,72,TRUE
216,72,FALSE
217,73,TRUE
218,73,FALSE
219,74,TRUE
220,74,FALSE
221,75,TRUE
222,75,FALSE
223,76,TRUE
224,76,FALSE
225,77,a) SELECT
226,77,b) UPDATE
227,77,c) INSERT
228,77,d) MODIFY
229,78,a) INTEGER
230,78,b) BOOLEAN
231,78,c) FLOAT
232,78,d) CHARACTER
233,79,a) Deletes a database table
234,79,b) Deletes a database index
235,79,c) Deletes a database record
236,79,d) Deletes a database column
237,80,a) MySQL
238,80,b) Oracle
239,80,c) MongoDB
240,80,d) PostgreSQL
241,81,a) DELETE
242,81,b) ALTER
243,81,c) UPDATE
244,81,d) MODIFY
245,82,TRUE
246,82,FALSE
247,83,TRUE
248,83,FALSE
249,84,TRUE
250,84,FALSE
251,85,TRUE
252,85,FALSE
253,86,TRUE
254,86,FALSE
255,87,TRUE
256,87,FALSE
257,88,TRUE
